id,firstname,lastname,dob,gender,ssn,class,section,classroom,specialization
1,Phyllys,Minithorpe,2004/11/11,F,5108757699172529,3,PL,Crimson,Khaki
2,Idell,Jouannin,2012/08/25,F,3554464078958248,2,PT,Teal,Puce
3,Olive,Lambswood,2018/01/02,F,560223499332645892,4,ID,Goldenrod,Maroon
4,Son,Enderle,2008/01/06,M,5443491690632380,3,NE,Orange,Mauv
5,Gaylor,Kees,2014/12/17,M,3563029864543576,3,CZ,Khaki,Puce
6,Delmor,Biglin,2016/12/27,M,3559332378473629,4,ID,Teal,Pink
7,Krissie,Woodage,2004/03/18,F,3564656709712880,1,GR,Khaki,Puce
8,Tessy,Filippozzi,2006/05/16,F,3542671884554202,3,CN,Turquoise,Green
9,Jon,Sykora,2019/06/04,M,5602212059753519,3,FR,Teal,Red
10,Neel,Arcase,2011/11/09,M,5010121760722091,5,AZ,Pink,Indigo
11,Ricky,Reasun,2009/07/12,F,677129571552459761,5,BR,Mauv,Indigo
12,Heath,Wasbrough,2008/12/05,F,5395781060958003,3,ID,Maroon,Yellow
13,Clemens,Bockler,2006/12/14,M,4017956347892,5,BG,Maroon,Blue
14,Yankee,Orrow,2015/03/31,M,3588329072574285,1,PL,Turquoise,Violet
15,Enoch,Gosnold,2009/07/29,M,337941118013035,2,TH,Goldenrod,Goldenrod
16,Jillie,Camings,2009/08/28,F,3554283239240183,1,HN,Pink,Mauv
17,Winfield,Togwell,2015/10/21,M,3528244232244922,1,AM,Goldenrod,Fuscia
18,Gradey,Blinder,2013/09/20,M,50206082002925142,3,CA,Indigo,Indigo
19,Dennie,Bahl,2006/09/10,F,4175006539457356,1,JP,Purple,Maroon
20,Jesse,McPhelim,2012/03/17,F,6397775777830774,5,TT,Aquamarine,Fuscia
21,Isaiah,Warricker,2016/09/27,M,3551422073159355,5,ID,Crimson,Puce
22,Sarajane,Grouer,2004/02/16,F,3552592330968340,5,ID,Orange,Indigo
23,Gregoor,Guage,2010/03/16,M,3546131576757452,5,CN,Fuscia,Crimson
24,Letitia,Shalliker,2013/08/14,F,560222165001681689,1,IL,Mauv,Blue
25,Rosene,Rudolph,2019/07/17,F,3577235498313534,1,PH,Orange,Purple
26,Chadwick,Scandrett,2009/05/06,M,374288950622547,3,PE,Fuscia,Orange
27,Klaus,Blackburne,2005/03/29,M,3588811666547991,1,NA,Maroon,Violet
28,Corena,Tearney,2008/12/01,F,5048370501158232,4,VN,Orange,Red
29,Jolie,Baird,2019/09/02,F,6399756493966637,1,ID,Blue,Yellow
30,Konstantine,Meadowcraft,2015/10/06,M,3587805161292609,1,JP,Maroon,Puce
31,Emlyn,Jura,2008/01/09,M,337941685707092,5,PH,Red,Yellow
32,Eb,Blackmore,2019/04/08,M,3564923532513905,5,FR,Blue,Teal
33,Giavani,Jurasz,2017/07/02,M,3558238476152349,2,CO,Goldenrod,Turquoise
34,Morty,Rushbrook,2019/11/18,M,201807553087490,3,ID,Crimson,Indigo
35,Rourke,Milliere,2019/08/06,M,3553484580897545,1,ID,Maroon,Orange
36,Wilek,Royl,2010/05/23,M,630469222024046276,5,CN,Puce,Maroon
37,Mikael,Stolte,2005/10/30,M,56022104266560685,2,FR,Puce,Maroon
38,Angus,Land,2015/06/30,M,5048377242510704,2,SE,Indigo,Puce
39,Madelyn,Boman,2006/11/30,F,3536192338891163,2,FR,Maroon,Red
40,Arman,Rosenthal,2020/03/22,M,4913191574248055,4,ID,Khaki,Fuscia
41,Braden,Costy,2019/04/24,M,5020208374301296374,4,FR,Teal,Turquoise
42,Caye,Ida,2016/01/04,F,677160294843668765,3,MK,Puce,Yellow
43,Gunar,Passo,2011/06/04,M,3557716778593493,3,RU,Violet,Fuscia
44,Morley,Keeney,2005/01/24,M,5602220754795447758,5,NO,Khaki,Purple
45,Justus,Rudolph,2005/07/12,M,6331108585503673,3,AL,Violet,Green
46,Prescott,Ingram,2013/06/21,M,3534974598339773,3,BR,Blue,Khaki
47,Malinde,Grist,2018/01/10,F,5100172820071020,1,BR,Mauv,Mauv
48,Ferrell,Turneaux,2019/02/06,M,201770823266650,1,SE,Violet,Turquoise
49,Sara,Hartley,2015/03/10,F,3581670588258450,1,NI,Khaki,Turquoise
50,Lurline,Cowlin,2004/07/27,F,3528084879871516,3,CN,Turquoise,Orange
51,Chrissy,Pimley,2012/09/28,M,4041594134558886,5,PL,Purple,Yellow
52,Elke,Girton,2019/02/05,F,5020073190674954,1,CZ,Aquamarine,Crimson
53,Ginni,Fargher,2019/07/07,F,5602240051231887,2,PL,Red,Indigo
54,Hilario,Hagerty,2008/09/10,M,3551940852058969,2,NG,Maroon,Mauv
55,Evelin,Spellman,2018/04/12,M,3532081817136766,4,NP,Indigo,Blue
56,Caldwell,Witten,2019/12/17,M,4175008245135789,4,NG,Purple,Blue
57,Godwin,Bottelstone,2020/08/23,M,3556735898156271,2,SY,Khaki,Fuscia
58,Killie,Tryhorn,2011/04/20,M,30560268700082,4,CN,Khaki,Orange
59,Chrisse,Slewcock,2006/11/20,M,67065460817473918,3,CN,Fuscia,Yellow
60,Harrietta,Leachman,2010/06/16,F,4026415039171998,4,AF,Blue,Goldenrod
61,Dane,Berceros,2014/04/29,M,3577367597500073,3,CN,Crimson,Orange
62,Yehudi,Inchan,2015/12/20,M,3537997196036282,2,FR,Crimson,Yellow
63,Clarey,Ledley,2014/10/31,F,3563660847471418,2,CN,Orange,Khaki
64,Baudoin,Wogdon,2015/09/29,M,3553336398840911,5,NL,Goldenrod,Turquoise
65,Jeremiah,O'Keeffe,2007/05/10,M,3570322079397974,1,MK,Teal,Goldenrod
66,Taffy,Aimable,2009/03/20,F,5602213441809795,2,RU,Aquamarine,Orange
67,Vinnie,Bridal,2012/08/09,M,3543348161066932,5,CN,Violet,Aquamarine
68,Court,Foyle,2013/07/08,M,633382031303123591,3,TH,Teal,Fuscia
69,Dotty,Kipping,2011/04/12,F,5253018430695986,2,PH,Khaki,Purple
70,Dexter,Gosneye,2005/05/06,M,5010122241342087,1,RU,Red,Turquoise
71,Abramo,O'Curneen,2016/08/12,M,3541397979914652,1,NG,Teal,Indigo
72,Frederik,Winterflood,2012/03/17,M,3531290752970805,2,LT,Green,Fuscia
73,Sheela,Goodship,2011/03/06,F,5108751685546143,2,CZ,Red,Red
74,Cherrita,Espinas,2003/12/10,F,30162922964921,5,IR,Mauv,Teal
75,Gretta,Ladbrooke,2004/04/04,F,3587648726908818,2,ID,Mauv,Fuscia
76,Humfrey,Dohrmann,2018/11/04,M,6394856907598573,1,BR,Teal,Turquoise
77,Haley,Greenfield,2020/08/11,F,3575674425916294,4,RU,Khaki,Aquamarine
78,Spence,Crasswell,2018/01/14,M,3577789663628829,1,CN,Crimson,Red
79,Sarge,Creaser,2018/09/25,M,3539614322626021,3,GB,Purple,Pink
80,Angelia,Jelleman,2005/10/13,F,5018226975179514508,1,GT,Turquoise,Purple
81,Rubina,Casin,2011/03/28,F,5100178116886781,2,GR,Orange,Violet
82,Gray,Deppe,2014/06/15,F,3556604865850243,1,KZ,Yellow,Blue
83,Brigida,Tarbath,2007/04/14,F,3577488431339740,1,BF,Crimson,Pink
84,Jule,Atkyns,2006/06/08,M,5576932252421216,4,BH,Orange,Mauv
